,C1,C2,C3,C4,C5,C6,C7,C8,C9
PIB,0.3725271747323249,0.696356984435973,-0.11320894290951157,0.3423247862026203,0.12485671692413285,-0.29441269692919836,0.35068191445735497,-0.20263782792992607,
Chelt_sanatate,-0.14862147719722482,0.491710213544146,-0.4988552677362164,0.6171071189320331,-0.08140795773175741,0.07142133298532173,-0.2834966903807189,0.18535455803146797,
Somaj_stud_sup,-0.1959850299426005,-0.2542396481231892,0.6756626372887048,0.4902591319850065,-0.29163891474449943,0.11366107388031141,0.32418840977352564,0.13041407936841928,
Sup,0.47823224750359195,0.3674566632870797,0.6121105670688866,0.1527295956176744,0.07230654942314725,0.32319215292824244,-0.3309233195075245,-0.19766687674191355,
Forta_munca,0.559493403497329,0.5144109061822189,0.4220558349708406,-0.2422072942316035,0.27395087531656437,-0.18546527583350766,-0.01171440064183525,0.3097892380679592,
Som_total,-0.6245901156547441,0.08923465704897789,-0.046609227962433955,0.05832623610006437,0.6812705989398178,0.33882852881114206,0.19215615915242445,0.02217212309494663,
R_taxarii,0.221381920581524,0.6216522738786192,-0.2743500120426459,-0.3499928102374645,-0.37257551530874766,0.4271150658791015,0.25261433476334066,0.041494614819841194,
C_final,-0.8236339405364501,0.47447473476691493,0.24087851149208322,-0.14366744851376315,-0.12406906254667656,-0.1267835248551525,-0.07264802568855631,-0.03306259080615673,
Ec_brute,0.8236339405490968,-0.4744747347760597,-0.24087851150082104,0.1436674485473674,0.12406906244825242,0.12678352481507327,0.07264802559744821,0.03306259087341563,
