,C1,C2,C3,C4,C5,C6,C7,C8,C9
Albania,-1.1459712428754665,-0.18569396056382612,0.1625357077052201,-1.0274887327907858,0.7399096600324001,-0.22270886894261446,-0.25770028887110463,-1.2546116848626099,
Argentina,0.6268414416423741,1.8264151174817858,-0.9284951959783849,-2.3329033016942287,-1.9210891404208992,2.8594783690441696,1.1858907257087503,-0.7420300416746932,
Armenia,-1.8724258305697001,-0.3764410593431069,2.3225505659652352,0.2083571607344079,-0.8726071166198127,0.34518899935270103,2.322970983252014,0.29351462282873997,
Austria,0.3717801870542897,0.18399127556237774,-1.3226004530041058,0.31481834898067346,-0.8407124061875352,0.16417309103181135,-0.8414708179935279,0.4787509281851374,
Belgium,0.025087112774029544,0.3726936617304517,-0.8858977877884788,0.7148695071650646,-0.9561920204721107,0.7740875074966181,0.1251814098951892,1.0815182349477892,
Bulgaria,-0.4119918490742415,-0.5142553815101893,-0.3746806128601365,-0.29056476198951836,0.7507965189816607,-0.23982566803545005,-0.766056568179264,-0.499604843569246,
Brazil,1.6360637103177411,2.762047603274695,0.9267746353806945,-1.1325714558716526,0.8209546756336296,0.2234419355629701,-1.7466062753265832,1.7528506759081643,
Bhutan,0.1438352104392797,-1.2804534755108978,0.8933532137300839,-0.5807834407076052,-1.2605328330599124,-0.48284048952145664,1.0160529252288042,-0.8672251033328646,
Canada,0.7110209042872961,0.6927942156296948,1.7021412365937114,2.83562003063119,0.08761215175071461,0.3436973725869002,-1.4959308647178315,-1.9072260131043184,
Costa Rica,-0.3803560504041852,0.3871134990151807,-0.9356569296171171,-0.5056638115559655,-0.8532174318971127,0.6364148724994653,-0.794802003321834,0.3472836579049853,
Cyprus,-1.123241094391618,-0.6316499939292874,0.8237415654416909,0.6883651617026691,0.2829918007863998,0.02813006311520565,0.4844227147986697,0.37911305431895626,
Czech Republic,0.6238618402757339,-0.4654234565459047,-1.0942684946831833,-0.8969682002274055,-0.09796514084922413,0.34332545870409026,-0.3661361962047185,-0.5703019576963161,
Germany,1.2231800979359178,1.9736462646622053,-1.1669409781438926,1.4175139418439133,0.391042796921716,-2.4398699820119827,1.5353686862692721,-1.0613880240002913,
Denmark,-0.049800415820169135,-0.41291193982071267,-0.574280984056269,1.0435740470404995,-0.2635408479298221,-0.5511830257351276,-1.0181821470025385,0.6377266021610182,
Egypt,-0.9354771715654637,0.19391999007674918,1.4805191683250294,-0.8936344224283327,-0.06978558912142456,-0.19486036997107065,0.8125815219728484,0.4132884107784199,
Spain,-0.3518122499738027,0.8524721621807685,-0.4442635935613428,0.3932802747564061,1.9693133176833983,1.6130227311417928,2.094216597524219,0.500356943182565,
Estonia,0.33918155238391773,-0.9250630947245206,-0.06810163585510645,-0.42363712821532024,-0.5692779825001768,0.8873501399689145,1.0285299375902157,-0.12943318383009342,
Finland,-0.23135382112134797,-0.12186590039814908,-0.39382386767194905,0.3269474902538743,-0.5194810083441502,0.0160907470927753,-0.5234917111773822,0.23740721847066476,
France,0.47048578097435645,1.9653947637995832,-0.9179801114413056,1.1920658708114027,-0.20129753786787477,-0.37939613108592074,1.837099555432682,0.012775738863651237,
United Kingdom,0.20696428849291368,1.4838900330890243,-0.08058151551877893,1.0627034379676976,0.32279871590035636,-2.7155359504346195,1.4498687997883446,-1.4758068308097245,
Georgia,-1.345453594408346,-0.4691122217623884,0.9581713241235053,1.482188289842472,-0.03333295758796215,-0.2650461399809321,0.008644375972790075,1.2697585501917088,
Greece,-1.7029977328268977,0.6296483712680004,-0.16155240091173564,0.24748251179960082,1.5236624688113307,1.5041003053176731,0.4232913029226093,0.6857022547505804,
Guatemala,-0.935116178266216,0.4239111396122088,0.02722314569267769,-1.8016861980153398,-1.1438142230228787,-1.5473684020576612,-1.4962730370677866,-1.5490122792244732,
Croatia,-0.7147304022118879,-0.6217706911279535,-0.21682340519701307,-0.15265532537847776,1.4700572367798932,-0.20411722595443188,-0.6093136704746308,-0.6829443805341263,
Hungary,0.29020378374793876,-0.30037054547033687,-1.094558112830373,-0.6712987399231376,0.18245975426742458,0.616310757318254,-0.4245832347230227,-0.27507606927953165,
Indonesia,2.0486259843832864,0.11508072436350729,1.1731097648807147,-2.494829650190384,2.2649756695367325,-2.0355674980583394,-0.175987163762267,3.2171499123601364,
Ireland,0.5014372389455658,-1.1693415552278064,-0.6404906984065221,1.1288293827959692,0.8962019398144806,0.5438664985984701,0.15099006511340776,0.6361348940832185,
Iceland,-0.09040672333375796,-0.5929361511134809,-0.3703345007831701,0.37429564593230646,-0.5768289246817372,-0.4611851041165432,-0.9830366126024406,0.1889138709287394,
Italy,0.28413906625473445,1.495205730466894,-1.001219524384558,-0.24140345773342886,0.3264704351080727,-0.20320183343265089,1.2905270160279732,-0.8510162792405316,
Kazakhstan,1.079731571873215,-1.382954240627146,0.4489082692549318,-0.39091391493490235,0.14128569124033483,0.09745571400883335,-0.06194173427225717,-1.4227008171446276,
Lithuania,-0.3193737613485784,-0.416530030127719,-0.24204082016444675,-0.8695017069838235,0.11755278057950092,0.3175831139594387,0.06935402668101638,-0.7699231377744225,
Luxembourg,1.590878668806553,-2.3149759378392054,-0.511518074569967,1.2610835421498867,0.3178977798862214,0.38195929703076464,0.5142947944154911,0.6768594528391014,
Moldova,-2.2795174463983794,1.3750254583876431,0.3761667201080529,0.04725166542562298,-2.1285030606094253,-1.3701293760416078,-2.0854078046737166,0.5218452941688058,
Macedonia,-1.8070139772837364,-0.48753108821252433,0.32807631013097077,-0.19763944424508625,3.0382532526138646,0.03804672844267476,-0.21794244691409903,-1.055417966266678,
Mongolia,0.5939769228672839,-1.3727672782355422,0.32699390096170605,0.25813897268723923,-0.27367202119079986,-0.14109170744903354,-0.23168168682602397,-0.6966273923944472,
Malaysia,1.012165234423644,-1.2580582837254872,0.22284483280789105,-0.7089189820874168,-0.5057311643354006,-0.27703038145942604,0.8826521500724233,-0.5720284326385353,
Netherlands,0.4147848700941666,0.17123667537826667,-1.267950960748585,1.5388413455977237,-0.35193885986769613,-0.17246146697650835,-0.7762665749052091,1.2668995673624885,
Norway,1.071172488777882,-0.8486040765632173,-0.9400101745559488,0.8912929190206745,-0.6574261466753722,0.2828584056658672,-0.21301303566024132,0.5671385497629347,
Peru,0.54717995545045,-0.8366400041514724,0.6032113442730535,-0.3908258756251432,-0.6117465572995328,-0.3167377684897895,0.24199672891710244,-0.17874460348423074,
Poland,-0.009454628404222154,-0.07834615610674468,-0.10403860942057112,-0.6700242752082314,0.32474983062815643,-0.3507594126849108,0.11272576369004067,-0.32919058430691817,
Portugal,-0.8101082313218437,0.2903864911087164,-0.5993666105679469,-0.00617969520721334,0.5837652712961323,0.5540249991872085,-0.4600261211383472,0.31410682222820463,
Paraguay,-0.16880999832033833,-0.3230387956112039,-0.28836566651777573,0.10462100822999248,-0.7956698535137142,-0.4135276749530319,-1.0690615166305595,0.16075121393349256,
Romania,0.21565817120448355,-0.5148837759280777,-0.2207219986336321,-1.222679956254383,-0.12542824217652074,-0.19316562594191528,-0.02232267830573792,-0.9362986324381809,
Russian Federation,2.2728645710595754,1.3416501126347977,3.6066668592350815,0.9478488467950548,0.3372569988310868,2.352742982429117,-1.5073053362915778,-1.442896989160176,
Serbia,-1.696407571074643,0.5150978805376751,-0.31728969449068667,0.2597657734477737,1.1602163365624727,0.5617875471503749,-0.8506293961460222,0.5507153177486341,
Slovak Republic,-0.06855268004426282,-0.1829053879693695,-1.0347491115355734,-0.6188712454847937,0.5699055674479278,0.9473716561619165,-0.2597642151346601,-0.21546260009910512,
Slovenia,-0.11324479379027316,-0.5744910119564491,-0.6004186742741647,0.35507778718616495,0.14489834329764,0.05414222763742105,-0.7405191633086189,0.2848651473104124,
Sweden,0.3107796541243262,0.008098388453300196,-0.8411436522819757,0.33051051508927987,-0.5297393280428531,0.6038240998354654,-0.02752160122057401,0.3457578375507127,
Thailand,0.9808296131982979,-0.9890152213135065,1.0795585787639381,-0.36701936310947475,-0.6172344589553967,-1.2967911624937734,0.6648672184115526,1.1092582843871743,
Turkey,-0.2013574898072401,0.2790898168694789,0.6077765670605341,-0.886000593335777,0.0031709153098018563,-0.9916196319994143,0.44120167873683874,-0.62483442738849,
Ukraine,-0.8277549871526153,0.3092213398332072,1.5698411400199765,0.3493202013102696,-1.9914350564720176,0.3755452774873279,1.3302449244303431,2.1793592170982024,
