,C1,C2,C3,C4,C5,C6,C7,C8,C9
Mongolia,0.006917815390174261,0.036950784317533694,0.0020965688483559615,0.001306582925882809,0.0014685563761305416,0.0003903307825663463,0.0010524785100108206,0.009515484781064454,-2.50805553623939e-07
Malaysia,0.020087812975997456,0.031033542063731736,0.0009737219511603319,0.009854237709095277,0.005014980599608627,0.0015048202402265709,0.015275976824068069,0.006416010347978418,-1.5096609183791076e-06
Netherlands,0.0033734605580202875,0.0005749411567568995,0.03152352233065216,0.04643201346903946,0.002428646295783801,0.0005831952468958682,0.011815486182648325,0.03147126497614237,-1.1351748851163463e-06
Norway,0.02249824511205101,0.014120174093327664,0.017325865260170697,0.015576530735223424,0.008474688986910355,0.001568801522663456,0.0008896971247292399,0.006306786953474602,-1.6031835246182214e-07
Peru,0.005870703993073656,0.013724833265619131,0.007134586781562829,0.002994997354081567,0.007337918634663343,0.0019671139997625786,0.001148282682481913,0.0006264633975438211,-2.3236828656840864e-10
Poland,1.752745063959301e-06,0.00012035529758240011,0.00021223592647384614,0.008802598615065015,0.0020678912253532604,0.002412395403667913,0.00024915878038240966,0.0021248321724770627,-7.02799737940493e-09
Portugal,0.012868144048145215,0.0016534179258516199,0.007043928114974687,7.487967226285396e-07,0.006681997881793078,0.006018503916164438,0.004149490826070456,0.001934570505300018,-7.554464647425378e-07
Paraguay,0.0005587610888806399,0.0020461581072536697,0.0016304854436517855,0.00021461873260902262,0.012413539525304617,0.0033530419206286347,0.022409657379224155,0.0005066853486488529,-2.808763762222043e-06
Romania,0.0009119303295541635,0.005198143190469704,0.0009552588368789233,0.029312672067180783,0.0003084753712841556,0.0007316266479516065,9.770626798852204e-06,0.0171893162569727,-4.890030683064933e-08
Russian Federation,0.1012924187917221,0.03529460832809736,0.2550597222255813,0.017616028164131672,0.0022302408482461115,0.10853724590920501,0.044548419153197384,0.04082258277112746,-4.988992604255573e-07
Serbia,0.05642742445488961,0.005202467186949118,0.001973975494705751,0.001323103079508237,0.02639415583581265,0.006188338198690876,0.014187654305642085,0.005946811003979981,-1.0626125371475609e-07
Slovak Republic,9.214646943629548e-05,0.000655968253886776,0.020994229878895262,0.007509835656625485,0.00636847756486558,0.017598295194097502,0.0013230872051867837,0.000910277098852292,-2.355137252706346e-07
Slovenia,0.0002514584964823822,0.0064713710356616655,0.007068678125826383,0.0024721614696671264,0.00041167705667452434,5.747805516749647e-05,0.010752326102496018,0.0015911402382780967,-2.6899539502272426e-07
Sweden,0.0018938037925026632,1.2859587360891357e-06,0.013872993015181594,0.0021419058938153155,0.005502426581868501,0.007149089089060981,1.4851735955770605e-05,0.00234408788681853,-6.567901758277345e-08
Thailand,0.018863269218171032,0.01917943348999616,0.022851896568290477,0.002641239468574205,0.007470164261214929,0.032973869002391215,0.008667616041535594,0.024126547872187792,-4.729808497427391e-08
Turkey,0.0007949968372837805,0.0015272769780439077,0.007242987362115448,0.015392099046889193,1.9715105690070205e-07,0.019280578324836352,0.0038168415945138163,0.007655256110782395,-5.05764751926988e-07
Ukraine,0.013434868995216204,0.0018748595491812512,0.04832159225292587,0.002392639275361711,0.07776105066952368,0.0027653775577065514,0.03469708939162136,0.09312954112060565,-4.474139893844765e-08
